CNTY_NAME,CNTY_FIPS,GOVTOT22,GOVDEM22,GOVREP22,WSATOT22,WSADEM22,WSAREP22,WAGTOT22,WAGDEM22,WAGREP22,USHTOT22,USHDEM22,USHREP22,SOSTOT22,SOSDEM22,SOSREP22,USSTOT22,USSDEM22,USSREP22,WSSTOT22,WSSDEM22,WSSREP22,WSTTOT22,WSTDEM22,WSTREP22
ADAMS,001,9908,3860,5856,8969,1573,7175,9832,3820,6004,9870,3601,6266,9845,3540,5940,9884,3644,6202,0,0,0,9817,3570,5973
ASHLAND,003,7015,4034,2905,6940,3810,3126,6900,3934,2961,6937,3830,3100,6914,3777,2842,6986,3903,3074,6977,3881,3090,6889,3842,2882
BARRON,005,20133,7552,12246,16636,1,16054,20077,7490,12578,20094,7108,12976,20059,7079,12322,20079,7121,12928,20149,6679,13454,20010,7088,12493
BAYFIELD,007,9291,5367,3843,9234,5076,4154,9216,5238,3974,9246,5161,4083,9240,5131,3811,9280,5183,4082,9277,5081,4193,9214,5126,3924
BROWN,009,114205,53887,58986,111885,49134,62522,113213,53165,59968,106506,0,73904,112708,49962,58303,113879,51421,62221,23766,9285,14463,112008,48879,60249
BUFFALO,011,6138,2391,3638,6109,2134,3969,6086,2432,3653,6114,2301,3812,6089,2216,3645,6118,2201,3907,6094,2400,3692,6017,2233,3622
BURNETT,013,8142,2964,5061,8164,2841,5323,8168,2877,5291,8205,2835,5370,8182,2814,5145,8196,2834,5362,8203,2843,5360,8167,2790,5208
CALUMET,015,25025,9935,14828,19717,0,19244,24796,9953,14834,22803,0,17681,24734,9331,14572,24951,9444,15466,19539,7186,12324,24547,8965,14993
CHIPPEWA,017,29201,11994,16792,28585,10156,18418,28973,12252,16709,28966,11298,17655,28868,11190,16519,28823,11069,17694,23354,0,22056,28648,10990,16882
CLARK,019,11692,3797,7690,11610,3191,8415,11581,3927,7649,11643,3367,8269,11561,3522,7642,11654,3451,8181,9842,0,9581,11555,3451,7749
COLUMBIA,021,27476,14168,13008,24961,9488,15184,27055,13381,13655,19179,0,18115,27110,13102,12980,27373,13410,13899,5674,1122,4352,26782,12756,13284
CRAWFORD,023,7006,3429,3486,7031,3209,3821,6962,3461,3500,7006,3334,3667,6944,3226,3484,6989,3179,3797,0,0,0,6908,3199,3542
DANE,025,301033,236577,62300,286251,226781,57734,298721,229828,68665,298696,227298,65432,297676,222397,63324,300728,231818,68228,107227,67578,38580,295523,222685,67812
DODGE,027,39082,13240,25428,32457,3502,28557,38678,13214,25464,33738,5732,28003,38557,12525,24677,38744,12830,25914,26408,0,26408,38237,12115,25121
DOOR,029,17305,8984,8145,17210,7617,9585,17213,8920,8286,16413,0,10271,17169,8451,8187,17322,8611,8685,17206,8316,8881,16990,8255,8422
DOUGLAS,031,18639,10606,7823,18497,10280,8161,18474,10324,8138,18601,10147,8440,18505,10049,7735,18665,10270,8373,18670,10057,8600,18477,10119,7922
DUNN,033,18435,8299,9899,18383,7728,10655,18352,8245,10107,18400,8037,10363,18385,7655,9950,18420,7876,10544,3325,1065,2260,18253,7742,10054
