district,county,rep_unit,total,party,candidate,votes
1,BROWN,Town of EATON Wards 1-2,898,DEM,Roberta Thelen,252
1,BROWN,Town of EATON Wards 1-2,898,REP,Joel Kitchens,645
1,BROWN,Town of EATON Wards 1-2,898,SCATTERING,NA,1
1,BROWN,Town of GREEN BAY Wards 1-3,1196,DEM,Roberta Thelen,292
1,BROWN,Town of GREEN BAY Wards 1-3,1196,REP,Joel Kitchens,901
1,BROWN,Town of GREEN BAY Wards 1-3,1196,SCATTERING,NA,3
1,BROWN,Town of HUMBOLDT Wards 1-2,698,DEM,Roberta Thelen,161
1,BROWN,Town of HUMBOLDT Wards 1-2,698,REP,Joel Kitchens,537
1,BROWN,Town of HUMBOLDT Wards 1-2,698,SCATTERING,NA,0
1,BROWN,Town of SCOTT Wards 1-4,1953,DEM,Roberta Thelen,717
1,BROWN,Town of SCOTT Wards 1-4,1953,REP,Joel Kitchens,1235
1,BROWN,Town of SCOTT Wards 1-4,1953,SCATTERING,NA,1
1,BROWN,City of GREEN BAY Ward 1,11,DEM,Roberta Thelen,3
1,BROWN,City of GREEN BAY Ward 1,11,REP,Joel Kitchens,8
1,BROWN,City of GREEN BAY Ward 1,11,SCATTERING,NA,0
1,DOOR,Town of BAILEYS HARBOR Wards 1-3,830,DEM,Roberta Thelen,475
1,DOOR,Town of BAILEYS HARBOR Wards 1-3,830,REP,Joel Kitchens,355
1,DOOR,Town of BAILEYS HARBOR Wards 1-3,830,SCATTERING,NA,0
1,DOOR,Town of BRUSSELS Wards 1-2,579,DEM,Roberta Thelen,138
1,DOOR,Town of BRUSSELS Wards 1-2,579,REP,Joel Kitchens,439
1,DOOR,Town of BRUSSELS Wards 1-2,579,SCATTERING,NA,2
1,DOOR,Town of CLAY BANKS Ward 1,237,DEM,Roberta Thelen,92
1,DOOR,Town of CLAY BANKS Ward 1,237,REP,Joel Kitchens,145
1,DOOR,Town of CLAY BANKS Ward 1,237,SCATTERING,NA,0
1,DOOR,Town of EGG HARBOR Wards 1-3,969,DEM,Roberta Thelen,410
