county,rep_unit,total,kaul,toney,SCATTERING,assembly_district,senate_district,congress_district
ADAMS,Town of ADAMS Wards 1-3,603,237,365,1,41,14,3
ADAMS,Town of BIG FLATS Wards 1-2,468,166,302,0,72,24,3
ADAMS,Town of COLBURN Ward 1,152,43,109,0,72,24,3
ADAMS,"Town of DELL PRAIRIE Wards 1,2",813,312,501,0,41,14,3
ADAMS,Town of EASTON Ward 1,465,162,303,0,41,14,3
ADAMS,Town of JACKSON Wards 1-2,606,238,367,1,41,14,3
ADAMS,Town of LEOLA Ward 1,141,34,107,0,72,24,3
ADAMS,Town of LINCOLN Ward 1,171,57,114,0,41,14,3
ADAMS,Town of MONROE Ward 1,244,99,145,0,72,24,3
ADAMS,Town of NEW CHESTER Wards 1-3,400,150,249,1,41,14,3
ADAMS,Town of NEW HAVEN Ward 1,310,115,195,0,41,14,3
ADAMS,Town of PRESTON Wards 1-2,640,251,389,0,72,24,3
ADAMS,"Town of QUINCY Wards 1,2",632,273,358,1,41,14,3
ADAMS,Town of RICHFIELD Ward 1,89,24,65,0,72,24,3
ADAMS,"Town of ROME Wards 1,2,3,4",2097,841,1255,1,72,24,3
ADAMS,Town of SPRINGVILLE Wards 1-2,588,228,359,1,41,14,3
ADAMS,"Town of STRONGS PRAIRIE Wards 1,2",595,233,361,1,72,24,3
ADAMS,Village of FRIENDSHIP Ward 1,218,97,121,0,41,14,3
ADAMS,City of ADAMS Wards 1-5,582,254,327,1,41,14,3
ADAMS,"CITY OF WISCONSIN DELLS Wards 5,9",18,6,12,0,41,14,3
ASHLAND,Town of AGENDA Ward 1,209,58,151,0,74,25,7
ASHLAND,Town of ASHLAND Ward 1,274,130,144,0,74,25,7
ASHLAND,Town of CHIPPEWA Ward 1,179,61,118,0,74,25,7
ASHLAND,Town of GINGLES Wards 1-2,399,210,189,0,74,25,7
ASHLAND,Town of GORDON Ward 1,164,52,112,0,74,25,7
ASHLAND,Town of JACOBS Wards 1-2,292,89,203,0,74,25,7
ASHLAND,Town of LA POINTE Ward 1,275,226,49,0,74,25,7
ASHLAND,Town of MARENGO Ward 1,182,84,98,0,74,25,7
ASHLAND,Town of MORSE Wards 1-2,255,110,145,0,74,25,7
ASHLAND,Town of PEEKSVILLE Ward 1,86,23,63,0,74,25,7
ASHLAND,Town of SANBORN Wards 1-2,385,319,66,0,74,25,7
ASHLAND,Town of SHANAGOLDEN Ward 1,66,23,43,0,74,25,7
ASHLAND,Town of WHITE RIVER Wards 1-2,391,122,269,0,74,25,7
ASHLAND,Village of BUTTERNUT Ward 1,147,73,74,0,74,25,7
ASHLAND,"City of ASHLAND Wards 1-8,11",1504,945,559,0,74,25,7
ASHLAND,"City of ASHLAND Wards 9-10,12-21",1839,1277,557,5,74,25,7
ASHLAND,City of MELLEN Ward 1,253,132,121,0,74,25,7
BARRON,Town of ALMENA Wards 1-2,472,136,336,0,75,25,7
BARRON,Town of ARLAND Ward 1,283,109,174,0,75,25,7
BARRON,Town of BARRON Wards 1-2,345,100,245,0,75,25,7
BARRON,Town of BEAR LAKE Ward 1,365,132,232,1,75,25,7
BARRON,Town of CEDAR LAKE Wards 1-2,692,227,465,0,75,25,7
BARRON,Town of CHETEK Wards 1-3,957,372,585,0,75,25,7
BARRON,Town of CLINTON Ward 1,315,92,223,0,75,25,7
BARRON,Town of CRYSTAL LAKE Ward 1,367,113,254,0,75,25,7
BARRON,Town of CUMBERLAND Ward 1,422,156,266,0,75,25,7
BARRON,Town of DALLAS Wards 1-2,260,67,193,0,75,25,7
BARRON,Town of DOVRE Ward 1,385,138,247,0,75,25,7
BARRON,Town of DOYLE Wards 1-2,269,76,192,1,75,25,7
BARRON,Town of LAKELAND Wards 1-2,509,183,325,1,75,25,7
BARRON,Town of MAPLE GROVE Wards 1-2,400,95,305,0,75,25,7
BARRON,Town of MAPLE PLAIN Ward 1,441,181,260,0,75,25,7
BARRON,Town of OAK GROVE Wards 1-2,437,147,290,0,75,25,7
BARRON,Town of PRAIRIE FARM Wards 1-2,247,77,170,0,75,25,7
BARRON,Town of PRAIRIE LAKE Wards 1-2,826,259,567,0,75,25,7
BARRON,Town of RICE LAKE Wards 1-4,1386,536,850,0,75,25,7
BARRON,Town of SIOUX CREEK Ward 1,326,96,230,0,75,25,7
BARRON,Town of STANFOLD Ward 1,321,108,213,0,75,25,7
BARRON,Town of STANLEY Wards 1-4,1192,393,799,0,75,25,7
BARRON,Town of SUMNER Ward 1,361,114,247,0,75,25,7
BARRON,Town of TURTLE LAKE Ward 1,310,98,212,0,75,25,7
BARRON,Town of VANCE CREEK Ward 1,310,102,208,0,75,25,7
BARRON,Village of ALMENA Ward 1,251,70,180,1,75,25,7
BARRON,Village of CAMERON Wards 1-3,691,240,451,0,75,25,7
BARRON,Village of DALLAS Ward 1,151,37,114,0,75,25,7
BARRON,Village of HAUGEN Ward 1,123,47,76,0,75,25,7
BARRON,VILLAGE OF NEW AUBURN Ward 2,7,1,6,0,67,23,7
BARRON,Village of PRAIRIE FARM Ward 1,157,55,101,1,75,25,7
BARRON,Village of TURTLE LAKE Ward 1,301,113,188,0,75,25,7
