district,county,rep_unit,total,party,candidate,votes
1,KENOSHA,Town of BRIGHTON Wards 1-4,851,DEM,Ann Roe,200
1,KENOSHA,Town of BRIGHTON Wards 1-4,851,REP,Bryan Steil,644
1,KENOSHA,Town of BRIGHTON Wards 1-4,851,IND,Charles E. Barman,7
1,KENOSHA,Town of BRIGHTON Wards 1-4,851,SCATTERING,NA,0
1,KENOSHA,Town of PARIS Wards 1-2,843,DEM,Ann Roe,219
1,KENOSHA,Town of PARIS Wards 1-2,843,REP,Bryan Steil,616
1,KENOSHA,Town of PARIS Wards 1-2,843,IND,Charles E. Barman,8
1,KENOSHA,Town of PARIS Wards 1-2,843,SCATTERING,NA,0
1,KENOSHA,"Town of RANDALL Wards 1,2,3,4,5,6",1573,DEM,Ann Roe,458
1,KENOSHA,"Town of RANDALL Wards 1,2,3,4,5,6",1573,REP,Bryan Steil,1100
1,KENOSHA,"Town of RANDALL Wards 1,2,3,4,5,6",1573,IND,Charles E. Barman,14
1,KENOSHA,"Town of RANDALL Wards 1,2,3,4,5,6",1573,SCATTERING,NA,1
1,KENOSHA,"Town of SOMERS Wards 1,4",65,DEM,Ann Roe,32
1,KENOSHA,"Town of SOMERS Wards 1,4",65,REP,Bryan Steil,33
1,KENOSHA,"Town of SOMERS Wards 1,4",65,IND,Charles E. Barman,0
1,KENOSHA,"Town of SOMERS Wards 1,4",65,SCATTERING,NA,0
1,KENOSHA,Town of SOMERS Wards 2-3,386,DEM,Ann Roe,158
1,KENOSHA,Town of SOMERS Wards 2-3,386,REP,Bryan Steil,225
1,KENOSHA,Town of SOMERS Wards 2-3,386,IND,Charles E. Barman,3
1,KENOSHA,Town of SOMERS Wards 2-3,386,SCATTERING,NA,0
1,KENOSHA,"Town of WHEATLAND Wards 1,2,3,4,5",1679,DEM,Ann Roe,512
1,KENOSHA,"Town of WHEATLAND Wards 1,2,3,4,5",1679,REP,Bryan Steil,1154
1,KENOSHA,"Town of WHEATLAND Wards 1,2,3,4,5",1679,IND,Charles E. Barman,11
1,KENOSHA,"Town of WHEATLAND Wards 1,2,3,4,5",1679,SCATTERING,NA,2
1,KENOSHA,Village of BRISTOL Wards 1-7,2561,DEM,Ann Roe,796
1,KENOSHA,Village of BRISTOL Wards 1-7,2561,REP,Bryan Steil,1746
1,KENOSHA,Village of BRISTOL Wards 1-7,2561,IND,Charles E. Barman,19
1,KENOSHA,Village of BRISTOL Wards 1-7,2561,SCATTERING,NA,0
1,KENOSHA,VILLAGE OF GENOA CITY Ward 6,0,DEM,Ann Roe,0
1,KENOSHA,VILLAGE OF GENOA CITY Ward 6,0,REP,Bryan Steil,0
1,KENOSHA,VILLAGE OF GENOA CITY Ward 6,0,IND,Charles E. Barman,0
1,KENOSHA,VILLAGE OF GENOA CITY Ward 6,0,SCATTERING,NA,0
1,KENOSHA,Village of PADDOCK LAKE Wards 1-6,1293,DEM,Ann Roe,407
1,KENOSHA,Village of PADDOCK LAKE Wards 1-6,1293,REP,Bryan Steil,874
1,KENOSHA,Village of PADDOCK LAKE Wards 1-6,1293,IND,Charles E. Barman,12
1,KENOSHA,Village of PADDOCK LAKE Wards 1-6,1293,SCATTERING,NA,0
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 1-3,2388,DEM,Ann Roe,1038
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 1-3,2388,REP,Bryan Steil,1337
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 1-3,2388,IND,Charles E. Barman,13
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 1-3,2388,SCATTERING,NA,0
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 4-5,1375,DEM,Ann Roe,505
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 4-5,1375,REP,Bryan Steil,863
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 4-5,1375,IND,Charles E. Barman,7
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 4-5,1375,SCATTERING,NA,0
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 6-7,1544,DEM,Ann Roe,695
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 6-7,1544,REP,Bryan Steil,840
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 6-7,1544,IND,Charles E. Barman,9
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 6-7,1544,SCATTERING,NA,0
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 8-10,1723,DEM,Ann Roe,532
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 8-10,1723,REP,Bryan Steil,1187
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 8-10,1723,IND,Charles E. Barman,3
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 8-10,1723,SCATTERING,NA,1
1,KENOSHA,Village of PLEASANT PRAIRIE Ward 11,683,DEM,Ann Roe,285
1,KENOSHA,Village of PLEASANT PRAIRIE Ward 11,683,REP,Bryan Steil,394
1,KENOSHA,Village of PLEASANT PRAIRIE Ward 11,683,IND,Charles E. Barman,3
1,KENOSHA,Village of PLEASANT PRAIRIE Ward 11,683,SCATTERING,NA,1
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 12-16,2496,DEM,Ann Roe,1077
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 12-16,2496,REP,Bryan Steil,1409
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 12-16,2496,IND,Charles E. Barman,9
1,KENOSHA,Village of PLEASANT PRAIRIE Wards 12-16,2496,SCATTERING,NA,1
1,KENOSHA,Village of SALEM LAKES Wards 1-6,2799,DEM,Ann Roe,886
1,KENOSHA,Village of SALEM LAKES Wards 1-6,2799,REP,Bryan Steil,1888
1,KENOSHA,Village of SALEM LAKES Wards 1-6,2799,IND,Charles E. Barman,25
1,KENOSHA,Village of SALEM LAKES Wards 1-6,2799,SCATTERING,NA,0
1,KENOSHA,Village of SALEM LAKES Wards 7-10,2294,DEM,Ann Roe,714
1,KENOSHA,Village of SALEM LAKES Wards 7-10,2294,REP,Bryan Steil,1556
1,KENOSHA,Village of SALEM LAKES Wards 7-10,2294,IND,Charles E. Barman,22
1,KENOSHA,Village of SALEM LAKES Wards 7-10,2294,SCATTERING,NA,2
1,KENOSHA,Village of SALEM LAKES Wards 11-13,1365,DEM,Ann Roe,423
1,KENOSHA,Village of SALEM LAKES Wards 11-13,1365,REP,Bryan Steil,930
1,KENOSHA,Village of SALEM LAKES Wards 11-13,1365,IND,Charles E. Barman,11
1,KENOSHA,Village of SALEM LAKES Wards 11-13,1365,SCATTERING,NA,1
1,KENOSHA,Village of SOMERS Wards 1-4,1365,DEM,Ann Roe,572
1,KENOSHA,Village of SOMERS Wards 1-4,1365,REP,Bryan Steil,785
1,KENOSHA,Village of SOMERS Wards 1-4,1365,IND,Charles E. Barman,8
1,KENOSHA,Village of SOMERS Wards 1-4,1365,SCATTERING,NA,0
1,KENOSHA,"Village of SOMERS Wards 5-6,9-10",1194,DEM,Ann Roe,526
1,KENOSHA,"Village of SOMERS Wards 5-6,9-10",1194,REP,Bryan Steil,660
1,KENOSHA,"Village of SOMERS Wards 5-6,9-10",1194,IND,Charles E. Barman,8
1,KENOSHA,"Village of SOMERS Wards 5-6,9-10",1194,SCATTERING,NA,0
1,KENOSHA,Village of SOMERS Wards 7-8,602,DEM,Ann Roe,318
1,KENOSHA,Village of SOMERS Wards 7-8,602,REP,Bryan Steil,279
1,KENOSHA,Village of SOMERS Wards 7-8,602,IND,Charles E. Barman,5
1,KENOSHA,Village of SOMERS Wards 7-8,602,SCATTERING,NA,0
1,KENOSHA,Village of SOMERS Wards 11-12,848,DEM,Ann Roe,310
1,KENOSHA,Village of SOMERS Wards 11-12,848,REP,Bryan Steil,535
1,KENOSHA,Village of SOMERS Wards 11-12,848,IND,Charles E. Barman,3
1,KENOSHA,Village of SOMERS Wards 11-12,848,SCATTERING,NA,0
1,KENOSHA,Village of SOMERS Ward 13,0,DEM,Ann Roe,0
1,KENOSHA,Village of SOMERS Ward 13,0,REP,Bryan Steil,0
1,KENOSHA,Village of SOMERS Ward 13,0,IND,Charles E. Barman,0
1,KENOSHA,Village of SOMERS Ward 13,0,SCATTERING,NA,0
1,KENOSHA,Village of TWIN LAKES Wards 1-11,2607,DEM,Ann Roe,863
1,KENOSHA,Village of TWIN LAKES Wards 1-11,2607,REP,Bryan Steil,1724
1,KENOSHA,Village of TWIN LAKES Wards 1-11,2607,IND,Charles E. Barman,19
1,KENOSHA,Village of TWIN LAKES Wards 1-11,2607,SCATTERING,NA,1
1,KENOSHA,City of KENOSHA Ward 1,1106,DEM,Ann Roe,581
1,KENOSHA,City of KENOSHA Ward 1,1106,REP,Bryan Steil,516
1,KENOSHA,City of KENOSHA Ward 1,1106,IND,Charles E. Barman,9
1,KENOSHA,City of KENOSHA Ward 1,1106,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 2,584,DEM,Ann Roe,305
1,KENOSHA,City of KENOSHA Ward 2,584,REP,Bryan Steil,276
1,KENOSHA,City of KENOSHA Ward 2,584,IND,Charles E. Barman,2
1,KENOSHA,City of KENOSHA Ward 2,584,SCATTERING,NA,1
1,KENOSHA,City of KENOSHA Ward 3,508,DEM,Ann Roe,298
1,KENOSHA,City of KENOSHA Ward 3,508,REP,Bryan Steil,208
1,KENOSHA,City of KENOSHA Ward 3,508,IND,Charles E. Barman,2
1,KENOSHA,City of KENOSHA Ward 3,508,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 4,220,DEM,Ann Roe,105
1,KENOSHA,City of KENOSHA Ward 4,220,REP,Bryan Steil,114
1,KENOSHA,City of KENOSHA Ward 4,220,IND,Charles E. Barman,1
1,KENOSHA,City of KENOSHA Ward 4,220,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 5,409,DEM,Ann Roe,288
1,KENOSHA,City of KENOSHA Ward 5,409,REP,Bryan Steil,116
1,KENOSHA,City of KENOSHA Ward 5,409,IND,Charles E. Barman,5
1,KENOSHA,City of KENOSHA Ward 5,409,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 6,620,DEM,Ann Roe,382
1,KENOSHA,City of KENOSHA Ward 6,620,REP,Bryan Steil,235
1,KENOSHA,City of KENOSHA Ward 6,620,IND,Charles E. Barman,3
1,KENOSHA,City of KENOSHA Ward 6,620,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 7,362,DEM,Ann Roe,218
1,KENOSHA,City of KENOSHA Ward 7,362,REP,Bryan Steil,139
1,KENOSHA,City of KENOSHA Ward 7,362,IND,Charles E. Barman,4
1,KENOSHA,City of KENOSHA Ward 7,362,SCATTERING,NA,1
1,KENOSHA,City of KENOSHA Ward 8,452,DEM,Ann Roe,215
1,KENOSHA,City of KENOSHA Ward 8,452,REP,Bryan Steil,237
1,KENOSHA,City of KENOSHA Ward 8,452,IND,Charles E. Barman,0
1,KENOSHA,City of KENOSHA Ward 8,452,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 9,1115,DEM,Ann Roe,636
1,KENOSHA,City of KENOSHA Ward 9,1115,REP,Bryan Steil,470
1,KENOSHA,City of KENOSHA Ward 9,1115,IND,Charles E. Barman,8
1,KENOSHA,City of KENOSHA Ward 9,1115,SCATTERING,NA,1
1,KENOSHA,City of KENOSHA Ward 10,177,DEM,Ann Roe,91
1,KENOSHA,City of KENOSHA Ward 10,177,REP,Bryan Steil,83
1,KENOSHA,City of KENOSHA Ward 10,177,IND,Charles E. Barman,3
1,KENOSHA,City of KENOSHA Ward 10,177,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 11,1033,DEM,Ann Roe,535
1,KENOSHA,City of KENOSHA Ward 11,1033,REP,Bryan Steil,496
1,KENOSHA,City of KENOSHA Ward 11,1033,IND,Charles E. Barman,2
1,KENOSHA,City of KENOSHA Ward 11,1033,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 12,682,DEM,Ann Roe,390
1,KENOSHA,City of KENOSHA Ward 12,682,REP,Bryan Steil,288
1,KENOSHA,City of KENOSHA Ward 12,682,IND,Charles E. Barman,4
1,KENOSHA,City of KENOSHA Ward 12,682,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 13,1042,DEM,Ann Roe,528
1,KENOSHA,City of KENOSHA Ward 13,1042,REP,Bryan Steil,509
1,KENOSHA,City of KENOSHA Ward 13,1042,IND,Charles E. Barman,4
1,KENOSHA,City of KENOSHA Ward 13,1042,SCATTERING,NA,1
1,KENOSHA,City of KENOSHA Ward 14,661,DEM,Ann Roe,337
1,KENOSHA,City of KENOSHA Ward 14,661,REP,Bryan Steil,316
1,KENOSHA,City of KENOSHA Ward 14,661,IND,Charles E. Barman,8
1,KENOSHA,City of KENOSHA Ward 14,661,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 15,375,DEM,Ann Roe,261
1,KENOSHA,City of KENOSHA Ward 15,375,REP,Bryan Steil,111
1,KENOSHA,City of KENOSHA Ward 15,375,IND,Charles E. Barman,3
1,KENOSHA,City of KENOSHA Ward 15,375,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 16,291,DEM,Ann Roe,211
1,KENOSHA,City of KENOSHA Ward 16,291,REP,Bryan Steil,78
1,KENOSHA,City of KENOSHA Ward 16,291,IND,Charles E. Barman,2
1,KENOSHA,City of KENOSHA Ward 16,291,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 17,215,DEM,Ann Roe,138
1,KENOSHA,City of KENOSHA Ward 17,215,REP,Bryan Steil,75
1,KENOSHA,City of KENOSHA Ward 17,215,IND,Charles E. Barman,1
1,KENOSHA,City of KENOSHA Ward 17,215,SCATTERING,NA,1
1,KENOSHA,City of KENOSHA Ward 18,549,DEM,Ann Roe,330
1,KENOSHA,City of KENOSHA Ward 18,549,REP,Bryan Steil,211
1,KENOSHA,City of KENOSHA Ward 18,549,IND,Charles E. Barman,8
1,KENOSHA,City of KENOSHA Ward 18,549,SCATTERING,NA,0
1,KENOSHA,City of KENOSHA Ward 19,141,DEM,Ann Roe,79
1,KENOSHA,City of KENOSHA Ward 19,141,REP,Bryan Steil,60
1,KENOSHA,City of KENOSHA Ward 19,141,IND,Charles E. Barman,2
1,KENOSHA,City of KENOSHA Ward 19,141,SCATTERING,NA,0
