county,rep_unit,total,evers,michels,beglinger,haskin,SCATTERING,assembly_district,senate_district,congress_district
ADAMS,Town of ADAMS Wards 1-3,612,246,352,13,0,1,41,14,3
ADAMS,Town of BIG FLATS Wards 1-2,469,164,295,10,0,0,72,24,3
ADAMS,Town of COLBURN Ward 1,152,42,108,2,0,0,72,24,3
ADAMS,"Town of DELL PRAIRIE Wards 1,2",813,331,460,21,0,1,41,14,3
ADAMS,Town of EASTON Ward 1,469,159,302,7,0,1,41,14,3
ADAMS,Town of JACKSON Wards 1-2,606,254,346,6,0,0,41,14,3
ADAMS,Town of LEOLA Ward 1,144,33,109,2,0,0,72,24,3
ADAMS,Town of LINCOLN Ward 1,171,58,108,4,1,0,41,14,3
ADAMS,Town of MONROE Ward 1,246,101,142,3,0,0,72,24,3
ADAMS,Town of NEW CHESTER Wards 1-3,406,159,237,9,0,1,41,14,3
ADAMS,Town of NEW HAVEN Ward 1,317,124,181,12,0,0,41,14,3
ADAMS,Town of PRESTON Wards 1-2,644,254,379,10,0,1,72,24,3
ADAMS,"Town of QUINCY Wards 1,2",641,263,360,18,0,0,41,14,3
ADAMS,Town of RICHFIELD Ward 1,89,22,64,2,0,1,72,24,3
ADAMS,"Town of ROME Wards 1,2,3,4",2115,828,1264,23,0,0,72,24,3
ADAMS,Town of SPRINGVILLE Wards 1-2,590,233,344,13,0,0,41,14,3
ADAMS,"Town of STRONGS PRAIRIE Wards 1,2",598,231,355,12,0,0,72,24,3
ADAMS,Village of FRIENDSHIP Ward 1,222,97,118,7,0,0,41,14,3
ADAMS,City of ADAMS Wards 1-5,586,255,320,10,1,0,41,14,3
ADAMS,"CITY OF WISCONSIN DELLS Wards 5,9",18,6,12,0,0,0,41,14,3
ASHLAND,Town of AGENDA Ward 1,217,60,153,4,0,0,74,25,7
ASHLAND,Town of ASHLAND Ward 1,282,142,140,0,0,0,74,25,7
ASHLAND,Town of CHIPPEWA Ward 1,183,57,125,1,0,0,74,25,7
