county,rep_unit,assembly_district,senate_district,congress_district
BROWN,City of GREEN BAY Ward 1,1,1,8
BROWN,Town of EATON Wards 1-2,1,1,8
BROWN,Town of GREEN BAY Wards 1-3,1,1,8
BROWN,Town of HUMBOLDT Wards 1-2,1,1,8
BROWN,Town of SCOTT Wards 1-4,1,1,8
DOOR,City of STURGEON BAY Wards 1-9,1,1,8
DOOR,City of STURGEON BAY Wards 10-15,1,1,8
DOOR,City of STURGEON BAY Wards 16-21,1,1,8
DOOR,Town of BAILEYS HARBOR Wards 1-3,1,1,8
DOOR,Town of BRUSSELS Wards 1-2,1,1,8
DOOR,Town of CLAY BANKS Ward 1,1,1,8
DOOR,Town of EGG HARBOR Wards 1-3,1,1,8
DOOR,Town of FORESTVILLE Wards 1-2,1,1,8
DOOR,Town of GARDNER Wards 1-2,1,1,8
DOOR,Town of GIBRALTAR Wards 1-2,1,1,8
DOOR,Town of JACKSONPORT Wards 1-2,1,1,8
DOOR,Town of LIBERTY GROVE Wards 1-3,1,1,8
DOOR,Town of NASEWAUPEE Wards 1-4,1,1,8
DOOR,Town of SEVASTOPOL Wards 1-5,1,1,8
DOOR,Town of STURGEON BAY Wards 1-2,1,1,8
DOOR,Town of UNION Wards 1-2,1,1,8
DOOR,Town of WASHINGTON Ward 1,1,1,8
DOOR,Village of EGG HARBOR Ward 1,1,1,8
DOOR,Village of EPHRAIM Wards 1-2,1,1,8
DOOR,Village of FORESTVILLE Ward 1,1,1,8
DOOR,Village of SISTER BAY Wards 1-2,1,1,8
KEWAUNEE,City of ALGOMA Wards 1-7,1,1,8
KEWAUNEE,City of KEWAUNEE Wards 1-6,1,1,8
KEWAUNEE,Town of AHNAPEE Ward 1,1,1,8
KEWAUNEE,Town of CARLTON Wards 1-2,1,1,8
KEWAUNEE,Town of CASCO Wards 1-3,1,1,8
KEWAUNEE,Town of FRANKLIN Ward 1,1,1,8
KEWAUNEE,Town of LINCOLN Ward 1,1,1,8
KEWAUNEE,Town of LUXEMBURG Wards 1-3,1,1,8
KEWAUNEE,Town of MONTPELIER Wards 1-3,1,1,8
KEWAUNEE,Town of PIERCE Wards 1-3,1,1,8
KEWAUNEE,Town of RED RIVER Wards 1-4,1,1,8
KEWAUNEE,Town of WEST KEWAUNEE Wards 1-2,1,1,8
KEWAUNEE,Village of CASCO Ward 1,1,1,8
KEWAUNEE,Village of LUXEMBURG Wards 1-5,1,1,8
BROWN,City of DE PERE Wards 1-5,2,1,8
BROWN,City of DE PERE Wards 10-16,2,1,8
BROWN,City of DE PERE Wards 17-23,2,1,8
BROWN,City of DE PERE Wards 6-9,2,1,8
BROWN,Town of HOLLAND Wards 1-2,2,1,8
BROWN,Town of LAWRENCE Wards 1-7,2,1,8
BROWN,Town of MORRISON Wards 1-2,2,1,8
BROWN,Town of WRIGHTSTOWN Wards 1-4,2,1,8
BROWN,Village of WRIGHTSTOWN Wards 1-3,2,1,8
MANITOWOC,City of TWO RIVERS Wards 1-5,2,1,6
MANITOWOC,City of TWO RIVERS Wards 6-8,2,1,6
MANITOWOC,Town of COOPERSTOWN Wards 1-2,2,1,6
MANITOWOC,Town of GIBSON Wards 1-2,2,1,6
MANITOWOC,Town of MISHICOT Wards 1-2,2,1,6
MANITOWOC,Town of TWO CREEKS Ward 1,2,1,6
MANITOWOC,Town of TWO RIVERS Wards 1-3,2,1,6
MANITOWOC,Village of MARIBEL Ward 1,2,1,6
MANITOWOC,"Village of MISHICOT Wards 1,2",2,1,6
OUTAGAMIE,VILLAGE OF WRIGHTSTOWN Ward 4,2,1,8
CALUMET,CITY OF APPLETON Ward 13,3,1,8
CALUMET,CITY OF APPLETON Ward 14,3,1,8
CALUMET,CITY OF APPLETON Ward 15,3,1,8
CALUMET,CITY OF APPLETON Ward 25,3,1,8
CALUMET,CITY OF APPLETON Ward 44,3,1,8
CALUMET,CITY OF APPLETON Ward 45,3,1,8
CALUMET,CITY OF APPLETON Ward 46,3,1,8
CALUMET,CITY OF APPLETON Ward 47,3,1,8
CALUMET,City of BRILLION Wards 1-6,3,1,8
CALUMET,CITY OF KAUKAUNA Ward 12,3,1,8
CALUMET,CITY OF MENASHA Wards 14-16,3,1,8
CALUMET,Town of BRILLION Wards 1-2,3,1,8
CALUMET,Town of RANTOUL Ward 1,3,1,8
CALUMET,Town of WOODVILLE Ward 1,3,1,8
CALUMET,Village of HARRISON Wards 3-14,3,1,8
CALUMET,Village of HILBERT Wards 1-2,3,1,8
CALUMET,Village of POTTER Ward 1,3,1,8
CALUMET,Village of SHERWOOD Wards 1-5,3,1,8
MANITOWOC,Town of MAPLE GROVE Ward 1,3,1,6
OUTAGAMIE,City of APPLETON Ward 8,3,1,8
OUTAGAMIE,City of APPLETON Ward 9,3,1,8
OUTAGAMIE,City of KAUKAUNA Ward 16,3,1,8
OUTAGAMIE,City of KAUKAUNA Wards 13-15,3,1,8
OUTAGAMIE,Town of BUCHANAN Wards 1-9,3,1,8
OUTAGAMIE,"Village of COMBINED LOCKS Wards 1,2,3,4,5",3,1,8
OUTAGAMIE,VILLAGE OF HARRISON Wards 1-2,3,1,8
OUTAGAMIE,Village of KIMBERLY Wards 1-9,3,1,8
BROWN,City of GREEN BAY Ward 31A,4,2,8
BROWN,City of GREEN BAY Ward 32,4,2,8
BROWN,City of GREEN BAY Ward 42,4,2,8
BROWN,City of GREEN BAY Ward 43,4,2,8
BROWN,City of GREEN BAY Ward 44,4,2,8
BROWN,City of GREEN BAY Ward 45,4,2,8
BROWN,City of GREEN BAY Ward 46,4,2,8
BROWN,City of GREEN BAY Ward 47,4,2,8
BROWN,Village of ALLOUEZ Wards 1-2,4,2,8
BROWN,Village of ALLOUEZ Wards 3-4,4,2,8
BROWN,Village of ALLOUEZ Wards 5-6,4,2,8
BROWN,Village of ALLOUEZ Wards 7-9,4,2,8
BROWN,Village of ASHWAUBENON Ward 9,4,2,8
BROWN,Village of ASHWAUBENON Wards 1-2,4,2,8
BROWN,Village of ASHWAUBENON Wards 3-4,4,2,8
BROWN,Village of ASHWAUBENON Wards 5-6,4,2,8
BROWN,Village of ASHWAUBENON Wards 7-8,4,2,8
BROWN,"Village of HOWARD Wards 1-2,9-12,14",4,2,8
BROWN,Village of HOWARD Wards 15-17,4,2,8
BROWN,"Village of HOWARD Wards 5,21",4,2,8
BROWN,"Village of HOWARD Wards 7-8,18-19",4,2,8
OUTAGAMIE,VILLAGE OF HOWARD Ward 20,4,2,8
BROWN,Village of ASHWAUBENON Ward 10,5,2,8
BROWN,Village of ASHWAUBENON Wards 11-12,5,2,8
BROWN,Village of HOBART Wards 1-7,5,2,8
BROWN,Village of HOBART Wards 8-11,5,2,8
OUTAGAMIE,City of APPLETON Ward 53,5,2,8
OUTAGAMIE,City of KAUKAUNA Wards 1-5,5,2,8
OUTAGAMIE,City of KAUKAUNA Wards 6-11,5,2,8
OUTAGAMIE,Town of FREEDOM Wards 1-8,5,2,8
OUTAGAMIE,Town of KAUKAUNA Wards 1-3,5,2,8
OUTAGAMIE,Town of ONEIDA Wards 1-6,5,2,8
OUTAGAMIE,Town of OSBORN Wards 1-2,5,2,8
OUTAGAMIE,Town of SEYMOUR Ward 1,5,2,8
OUTAGAMIE,Town of VANDENBROEK Wards 1-3,5,2,8
OUTAGAMIE,Village of LITTLE CHUTE Ward 7,5,2,8
OUTAGAMIE,Village of LITTLE CHUTE Wards 1-3,5,2,8
OUTAGAMIE,Village of LITTLE CHUTE Wards 4-5,5,2,8
OUTAGAMIE,"Village of LITTLE CHUTE Wards 6,8",5,2,8
OUTAGAMIE,Village of LITTLE CHUTE Wards 9-10,5,2,8
BROWN,Town of PITTSFIELD Wards 1-3,6,2,8
BROWN,"Village of PULASKI Wards 1-3,6",6,2,8
OCONTO,VILLAGE OF PULASKI Ward 5,6,2,8
OUTAGAMIE,CITY OF NEW LONDON Ward 12,6,2,8
OUTAGAMIE,City of SEYMOUR Wards 1-6,6,2,8
OUTAGAMIE,Town of BLACK CREEK Wards 1-2,6,2,8
OUTAGAMIE,Town of BOVINA Wards 1-2,6,2,8
OUTAGAMIE,Town of CICERO Wards 1-2,6,2,8
OUTAGAMIE,Town of DEER CREEK Ward 1,6,2,8
OUTAGAMIE,Town of ELLINGTON Wards 1-5,6,2,8
OUTAGAMIE,Town of HORTONIA Wards 1-2,6,2,8
OUTAGAMIE,Town of LIBERTY Ward 1,6,2,8
OUTAGAMIE,Town of MAINE Ward 1,6,2,8
OUTAGAMIE,Town of SEYMOUR Ward 2,6,2,8
OUTAGAMIE,Village of BEAR CREEK Ward 1,6,2,8
OUTAGAMIE,Village of BLACK CREEK Wards 1-2,6,2,8
OUTAGAMIE,Village of HORTONVILLE Wards 1-4,6,2,8
OUTAGAMIE,Village of NICHOLS Ward 1,6,2,8
OUTAGAMIE,Village of SHIOCTON Ward 1,6,2,8
SHAWANO,City of SHAWANO Wards 1-2,6,2,8
SHAWANO,City of SHAWANO Wards 11-12,6,2,8
SHAWANO,City of SHAWANO Wards 3-4,6,2,8
SHAWANO,City of SHAWANO Wards 5-6,6,2,8
SHAWANO,City of SHAWANO Wards 7-8,6,2,8
SHAWANO,City of SHAWANO Wards 9-10,6,2,8
SHAWANO,Town of ANGELICA Wards 1-3,6,2,8
SHAWANO,Town of BELLE PLAINE Wards 1-4,6,2,8
SHAWANO,Town of FAIRBANKS Ward 1,6,2,8
SHAWANO,Town of GERMANIA Ward 1,6,2,8
SHAWANO,Town of GRANT Ward 1,6,2,8
SHAWANO,Town of HARTLAND Wards 1-2,6,2,8
SHAWANO,Town of HERMAN Wards 1-2,6,2,8
SHAWANO,Town of LESSOR Wards 1-2,6,2,8
SHAWANO,Town of MAPLE GROVE Ward 1,6,2,8
SHAWANO,Town of MORRIS Wards 1-2,6,2,8
SHAWANO,Town of NAVARINO Wards 1-2,6,2,8
SHAWANO,Town of PELLA Ward 1,6,2,8
SHAWANO,Town of RICHMOND Wards 1-3,6,2,8
SHAWANO,Town of SENECA Ward 1,6,2,8
SHAWANO,Town of WAUKECHON Wards 1-2,6,2,8
SHAWANO,Town of WESCOTT Wards 1-5,6,2,8
SHAWANO,Town of WITTENBERG Wards 1-2,6,2,8
SHAWANO,Village of BONDUEL Wards 1-2,6,2,8
SHAWANO,Village of BOWLER Wards 1-2,6,2,8
SHAWANO,Village of GRESHAM Ward 1,6,2,8
SHAWANO,"VILLAGE OF PULASKI Wards 4,7",6,2,8
SHAWANO,Village of TIGERTON Ward 1,6,2,8
SHAWANO,Village of WITTENBERG Wards 1-2,6,2,8
WAUPACA,Town of MATTESON Ward 1,6,2,8
WAUPACA,Village of EMBARRASS Ward 1,6,2,8
MILWAUKEE,City of GREENFIELD Ward 1,7,3,5
MILWAUKEE,City of GREENFIELD Ward 22,7,3,5
MILWAUKEE,City of GREENFIELD Ward 3,7,3,5
MILWAUKEE,City of GREENFIELD Ward 4,7,3,5
MILWAUKEE,City of GREENFIELD Ward 5,7,3,4
MILWAUKEE,City of GREENFIELD Ward 6,7,3,4
MILWAUKEE,City of GREENFIELD Ward 7,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 201,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 202,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 203,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 204,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 205,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 206,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 207,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 208,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 254,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 255,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 256,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 257,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 258,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 268,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 269,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 270,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 296,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 297,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 298,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 299,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 343,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 344,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 345,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 350,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 351,7,3,4
MILWAUKEE,City of WEST ALLIS Ward 1,7,3,4
MILWAUKEE,City of WEST ALLIS Ward 16,7,3,4
MILWAUKEE,City of WEST ALLIS Ward 17,7,3,4
MILWAUKEE,City of WEST ALLIS Ward 2,7,3,4
MILWAUKEE,City of WEST ALLIS Ward 3,7,3,4
MILWAUKEE,City of WEST ALLIS Ward 4,7,3,4
MILWAUKEE,City of WEST ALLIS Ward 5,7,3,4
MILWAUKEE,City of MILWAUKEE Ward 217,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 218,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 219,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 220,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 223,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 224,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 225,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 226,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 227,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 228,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 229,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 230,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 231,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 232,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 233,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 234,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 235,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 242,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 243,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 244,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 245,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 246,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 247,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 280,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 283,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 305,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 306,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 307,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 308,8,3,4
