county,rep_unit,total,lafollete,loudenbeck,harmon,mcfarland,SCATTERING
ADAMS,Town of ADAMS Wards 1-3,606,224,359,11,10,2
ADAMS,Town of BIG FLATS Wards 1-2,471,156,297,8,10,0
ADAMS,Town of COLBURN Ward 1,153,38,111,2,2,0
ADAMS,"Town of DELL PRAIRIE Wards 1,2",806,291,476,16,23,0
ADAMS,Town of EASTON Ward 1,463,147,298,5,12,1
ADAMS,Town of JACKSON Wards 1-2,602,222,355,12,13,0
ADAMS,Town of LEOLA Ward 1,143,33,108,2,0,0
ADAMS,Town of LINCOLN Ward 1,171,52,101,6,12,0
ADAMS,Town of MONROE Ward 1,244,100,141,2,1,0
ADAMS,Town of NEW CHESTER Wards 1-3,402,137,250,6,9,0
ADAMS,Town of NEW HAVEN Ward 1,314,119,178,7,10,0
ADAMS,Town of PRESTON Wards 1-2,642,237,387,10,8,0
ADAMS,"Town of QUINCY Wards 1,2",636,245,361,11,19,0
ADAMS,Town of RICHFIELD Ward 1,88,18,66,2,2,0
ADAMS,"Town of ROME Wards 1,2,3,4",2106,777,1282,24,23,0
ADAMS,Town of SPRINGVILLE Wards 1-2,585,207,353,11,14,0
ADAMS,"Town of STRONGS PRAIRIE Wards 1,2",594,218,353,10,13,0
ADAMS,Village of FRIENDSHIP Ward 1,221,86,125,6,4,0
ADAMS,City of ADAMS Wards 1-5,580,227,327,9,17,0
ADAMS,"CITY OF WISCONSIN DELLS Wards 5,9",18,6,12,0,0,0
ASHLAND,Town of AGENDA Ward 1,211,57,151,3,0,0
ASHLAND,Town of ASHLAND Ward 1,275,135,135,3,2,0
ASHLAND,Town of CHIPPEWA Ward 1,178,60,115,2,1,0
ASHLAND,Town of GINGLES Wards 1-2,396,202,180,8,6,0
ASHLAND,Town of GORDON Ward 1,166,53,108,5,0,0
ASHLAND,Town of JACOBS Wards 1-2,293,91,191,5,6,0
ASHLAND,Town of LA POINTE Ward 1,274,219,46,4,5,0
ASHLAND,Town of MARENGO Ward 1,181,82,93,3,3,0
ASHLAND,Town of MORSE Wards 1-2,257,116,138,0,3,0
ASHLAND,Town of PEEKSVILLE Ward 1,85,23,58,2,2,0
ASHLAND,Town of SANBORN Wards 1-2,391,310,62,3,16,0
ASHLAND,Town of SHANAGOLDEN Ward 1,68,23,43,1,1,0
ASHLAND,Town of WHITE RIVER Wards 1-2,387,110,265,6,6,0
ASHLAND,Village of BUTTERNUT Ward 1,149,75,72,1,1,0
ASHLAND,"City of ASHLAND Wards 1-8,11",1501,912,520,23,46,0
ASHLAND,"City of ASHLAND Wards 9-10,12-21",1839,1176,541,33,84,5
ASHLAND,City of MELLEN Ward 1,263,133,124,3,3,0
BARRON,Town of ALMENA Wards 1-2,469,126,327,8,8,0
BARRON,Town of ARLAND Ward 1,283,105,167,6,5,0
BARRON,Town of BARRON Wards 1-2,341,89,246,4,2,0
BARRON,Town of BEAR LAKE Ward 1,366,130,225,7,4,0
BARRON,Town of CEDAR LAKE Wards 1-2,692,220,458,10,4,0
BARRON,Town of CHETEK Wards 1-3,953,338,592,16,7,0
BARRON,Town of CLINTON Ward 1,319,96,216,6,1,0
BARRON,Town of CRYSTAL LAKE Ward 1,368,113,245,8,2,0
BARRON,Town of CUMBERLAND Ward 1,422,151,256,10,5,0
BARRON,Town of DALLAS Wards 1-2,259,58,192,5,4,0
BARRON,Town of DOVRE Ward 1,383,130,238,7,8,0
BARRON,Town of DOYLE Wards 1-2,268,73,181,6,8,0
BARRON,Town of LAKELAND Wards 1-2,508,176,318,6,7,1
BARRON,Town of MAPLE GROVE Wards 1-2,400,87,299,8,6,0
BARRON,Town of MAPLE PLAIN Ward 1,441,172,260,5,4,0
BARRON,Town of OAK GROVE Wards 1-2,439,142,286,7,4,0
BARRON,Town of PRAIRIE FARM Wards 1-2,245,66,171,3,5,0
BARRON,Town of PRAIRIE LAKE Wards 1-2,825,242,561,11,11,0
BARRON,Town of RICE LAKE Wards 1-4,1383,513,831,26,13,0
BARRON,Town of SIOUX CREEK Ward 1,325,95,218,6,6,0
BARRON,Town of STANFOLD Ward 1,321,105,206,8,2,0
BARRON,Town of STANLEY Wards 1-4,1188,354,799,18,17,0
BARRON,Town of SUMNER Ward 1,360,104,241,12,3,0
BARRON,Town of TURTLE LAKE Ward 1,310,98,202,7,3,0
BARRON,Town of VANCE CREEK Ward 1,310,99,201,6,4,0
BARRON,Village of ALMENA Ward 1,253,63,183,5,2,0
BARRON,Village of CAMERON Wards 1-3,686,220,445,17,4,0
BARRON,Village of DALLAS Ward 1,151,34,112,3,2,0
BARRON,Village of HAUGEN Ward 1,124,42,75,4,3,0
BARRON,VILLAGE OF NEW AUBURN Ward 2,7,1,6,0,0,0
BARRON,Village of PRAIRIE FARM Ward 1,157,49,100,4,3,1
BARRON,Village of TURTLE LAKE Ward 1,300,108,181,5,6,0
BARRON,City of BARRON Wards 1-7,1069,466,559,17,26,1
BARRON,City of CHETEK Wards 1-4,889,337,513,20,19,0
BARRON,City of CUMBERLAND Wards 1-5,949,411,509,16,13,0
BARRON,City of RICE LAKE Wards 1-16,3296,1466,1703,71,55,1
BAYFIELD,Town of BARKSDALE Wards 1-2,455,252,185,8,8,2
BAYFIELD,Town of BARNES Ward 1,590,252,324,5,9,0
BAYFIELD,Town of BAYFIELD Wards 1-2,496,332,139,13,11,1
BAYFIELD,Town of BAYVIEW Ward 1,334,203,123,4,4,0
BAYFIELD,Town of BELL Ward 1,251,166,73,7,5,0
BAYFIELD,Town of CABLE Ward 1,546,230,294,11,11,0
BAYFIELD,Town of CLOVER Ward 1,186,108,76,0,2,0
