county,rep_unit,total,barnes,johnson,paul,SCATTERING
ADAMS,Town of ADAMS Wards 1-3,613,243,367,0,3
ADAMS,Town of BIG FLATS Wards 1-2,473,155,315,0,3
ADAMS,Town of COLBURN Ward 1,151,36,113,0,2
ADAMS,"Town of DELL PRAIRIE Wards 1,2",810,308,500,0,2
ADAMS,Town of EASTON Ward 1,467,153,313,0,1
ADAMS,Town of JACKSON Wards 1-2,605,241,362,0,2
ADAMS,Town of LEOLA Ward 1,143,36,107,0,0
ADAMS,Town of LINCOLN Ward 1,170,53,116,1,0
ADAMS,Town of MONROE Ward 1,243,93,150,0,0
ADAMS,Town of NEW CHESTER Wards 1-3,403,143,259,0,1
ADAMS,Town of NEW HAVEN Ward 1,313,118,195,0,0
ADAMS,Town of PRESTON Wards 1-2,646,234,408,0,4
ADAMS,"Town of QUINCY Wards 1,2",638,260,376,0,2
ADAMS,Town of RICHFIELD Ward 1,88,20,68,0,0
ADAMS,"Town of ROME Wards 1,2,3,4",2117,777,1333,1,6
ADAMS,Town of SPRINGVILLE Wards 1-2,588,217,369,0,2
ADAMS,"Town of STRONGS PRAIRIE Wards 1,2",595,225,367,0,3
ADAMS,Village of FRIENDSHIP Ward 1,219,85,131,0,3
ADAMS,City of ADAMS Wards 1-5,584,243,339,2,0
ADAMS,"CITY OF WISCONSIN DELLS Wards 5,9",18,4,14,0,0
ASHLAND,Town of AGENDA Ward 1,210,55,155,0,0
ASHLAND,Town of ASHLAND Ward 1,278,126,152,0,0
ASHLAND,Town of CHIPPEWA Ward 1,182,53,129,0,0
ASHLAND,Town of GINGLES Wards 1-2,404,208,196,0,0
ASHLAND,Town of GORDON Ward 1,166,56,110,0,0
ASHLAND,Town of JACOBS Wards 1-2,297,95,202,0,0
ASHLAND,Town of LA POINTE Ward 1,277,224,52,0,1
ASHLAND,Town of MARENGO Ward 1,183,86,97,0,0
ASHLAND,Town of MORSE Wards 1-2,263,113,150,0,0
ASHLAND,Town of PEEKSVILLE Ward 1,87,21,66,0,0
ASHLAND,Town of SANBORN Wards 1-2,395,319,75,0,1
ASHLAND,Town of SHANAGOLDEN Ward 1,68,24,44,0,0
ASHLAND,Town of WHITE RIVER Wards 1-2,397,115,282,0,0
ASHLAND,Village of BUTTERNUT Ward 1,149,63,86,0,0
ASHLAND,"City of ASHLAND Wards 1-8,11",1517,949,566,0,2
ASHLAND,"City of ASHLAND Wards 9-10,12-21",1852,1268,579,0,5
ASHLAND,City of MELLEN Ward 1,261,128,133,0,0
BARRON,Town of ALMENA Wards 1-2,472,131,341,0,0
BARRON,Town of ARLAND Ward 1,284,104,180,0,0
BARRON,Town of BARRON Wards 1-2,340,88,252,0,0
BARRON,Town of BEAR LAKE Ward 1,366,127,238,0,1
BARRON,Town of CEDAR LAKE Wards 1-2,690,220,470,0,0
BARRON,Town of CHETEK Wards 1-3,960,347,613,0,0
BARRON,Town of CLINTON Ward 1,317,83,234,0,0
BARRON,Town of CRYSTAL LAKE Ward 1,366,111,255,0,0
BARRON,Town of CUMBERLAND Ward 1,422,145,276,0,1
BARRON,Town of DALLAS Wards 1-2,259,62,197,0,0
BARRON,Town of DOVRE Ward 1,385,131,254,0,0
BARRON,Town of DOYLE Wards 1-2,269,74,195,0,0
BARRON,Town of LAKELAND Wards 1-2,503,169,333,0,1
BARRON,Town of MAPLE GROVE Wards 1-2,401,92,308,0,1
BARRON,Town of MAPLE PLAIN Ward 1,446,179,267,0,0
BARRON,Town of OAK GROVE Wards 1-2,441,139,299,1,2
