county,rep_unit,total,party,candidate,votes,assembly_district,senate_district,congress_district
BROWN,Town of EATON Wards 1-2,910,DEM,Andrea Gage-Michaels,260,1,1,8
BROWN,Town of EATON Wards 1-2,910,REP,André Jacque,650,1,1,8
BROWN,Town of EATON Wards 1-2,910,SCATTERING,NA,0,1,1,8
BROWN,Town of GREEN BAY Wards 1-3,1208,DEM,Andrea Gage-Michaels,319,1,1,8
BROWN,Town of GREEN BAY Wards 1-3,1208,REP,André Jacque,889,1,1,8
BROWN,Town of GREEN BAY Wards 1-3,1208,SCATTERING,NA,0,1,1,8
BROWN,Town of HOLLAND Wards 1-2,822,DEM,Andrea Gage-Michaels,210,2,1,8
BROWN,Town of HOLLAND Wards 1-2,822,REP,André Jacque,611,2,1,8
BROWN,Town of HOLLAND Wards 1-2,822,SCATTERING,NA,1,2,1,8
BROWN,Town of HUMBOLDT Wards 1-2,706,DEM,Andrea Gage-Michaels,169,1,1,8
BROWN,Town of HUMBOLDT Wards 1-2,706,REP,André Jacque,537,1,1,8
BROWN,Town of HUMBOLDT Wards 1-2,706,SCATTERING,NA,0,1,1,8
BROWN,Town of LAWRENCE Wards 1-7,3517,DEM,Andrea Gage-Michaels,1247,2,1,8
BROWN,Town of LAWRENCE Wards 1-7,3517,REP,André Jacque,2269,2,1,8
BROWN,Town of LAWRENCE Wards 1-7,3517,SCATTERING,NA,1,2,1,8
BROWN,Town of MORRISON Wards 1-2,794,DEM,Andrea Gage-Michaels,163,2,1,8
BROWN,Town of MORRISON Wards 1-2,794,REP,André Jacque,631,2,1,8
BROWN,Town of MORRISON Wards 1-2,794,SCATTERING,NA,0,2,1,8
BROWN,Town of SCOTT Wards 1-4,1970,DEM,Andrea Gage-Michaels,753,1,1,8
BROWN,Town of SCOTT Wards 1-4,1970,REP,André Jacque,1215,1,1,8
BROWN,Town of SCOTT Wards 1-4,1970,SCATTERING,NA,2,1,1,8
BROWN,Town of WRIGHTSTOWN Wards 1-4,1249,DEM,Andrea Gage-Michaels,311,2,1,8
BROWN,Town of WRIGHTSTOWN Wards 1-4,1249,REP,André Jacque,937,2,1,8
BROWN,Town of WRIGHTSTOWN Wards 1-4,1249,SCATTERING,NA,1,2,1,8
BROWN,Village of WRIGHTSTOWN Wards 1-3,1324,DEM,Andrea Gage-Michaels,411,2,1,8
BROWN,Village of WRIGHTSTOWN Wards 1-3,1324,REP,André Jacque,910,2,1,8
BROWN,Village of WRIGHTSTOWN Wards 1-3,1324,SCATTERING,NA,3,2,1,8
BROWN,City of DE PERE Wards 1-5,3393,DEM,Andrea Gage-Michaels,1773,2,1,8
BROWN,City of DE PERE Wards 1-5,3393,REP,André Jacque,1617,2,1,8
BROWN,City of DE PERE Wards 1-5,3393,SCATTERING,NA,3,2,1,8
BROWN,City of DE PERE Wards 6-9,2809,DEM,Andrea Gage-Michaels,1383,2,1,8
BROWN,City of DE PERE Wards 6-9,2809,REP,André Jacque,1425,2,1,8
BROWN,City of DE PERE Wards 6-9,2809,SCATTERING,NA,1,2,1,8
BROWN,City of DE PERE Wards 10-16,2005,DEM,Andrea Gage-Michaels,955,2,1,8
BROWN,City of DE PERE Wards 10-16,2005,REP,André Jacque,1047,2,1,8
BROWN,City of DE PERE Wards 10-16,2005,SCATTERING,NA,3,2,1,8
BROWN,City of DE PERE Wards 17-23,3049,DEM,Andrea Gage-Michaels,1328,2,1,8
BROWN,City of DE PERE Wards 17-23,3049,REP,André Jacque,1718,2,1,8
BROWN,City of DE PERE Wards 17-23,3049,SCATTERING,NA,3,2,1,8
BROWN,City of GREEN BAY Ward 1,10,DEM,Andrea Gage-Michaels,3,1,1,8
BROWN,City of GREEN BAY Ward 1,10,REP,André Jacque,7,1,1,8
