county,rep_unit,total,richardson,leiber,zuelke,SCATTERING,assembly_district,senate_district,congress_district
ADAMS,Town of ADAMS Wards 1-3,603,225,354,24,0,41,14,3
ADAMS,Town of BIG FLATS Wards 1-2,468,154,297,17,0,72,24,3
ADAMS,Town of COLBURN Ward 1,151,36,110,5,0,72,24,3
ADAMS,"Town of DELL PRAIRIE Wards 1,2",805,296,486,23,0,41,14,3
ADAMS,Town of EASTON Ward 1,464,148,304,12,0,41,14,3
ADAMS,Town of JACKSON Wards 1-2,603,231,356,16,0,41,14,3
ADAMS,Town of LEOLA Ward 1,142,32,107,3,0,72,24,3
ADAMS,Town of LINCOLN Ward 1,172,53,109,9,1,41,14,3
ADAMS,Town of MONROE Ward 1,242,92,146,4,0,72,24,3
ADAMS,Town of NEW CHESTER Wards 1-3,399,142,242,15,0,41,14,3
ADAMS,Town of NEW HAVEN Ward 1,310,116,184,10,0,41,14,3
ADAMS,Town of PRESTON Wards 1-2,643,239,391,13,0,72,24,3
ADAMS,"Town of QUINCY Wards 1,2",637,263,362,12,0,41,14,3
ADAMS,Town of RICHFIELD Ward 1,87,17,66,4,0,72,24,3
ADAMS,"Town of ROME Wards 1,2,3,4",2094,764,1282,48,0,72,24,3
ADAMS,Town of SPRINGVILLE Wards 1-2,587,208,357,22,0,41,14,3
ADAMS,"Town of STRONGS PRAIRIE Wards 1,2",593,221,356,16,0,72,24,3
ADAMS,Village of FRIENDSHIP Ward 1,219,85,130,4,0,41,14,3
ADAMS,City of ADAMS Wards 1-5,580,243,321,16,0,41,14,3
ADAMS,"CITY OF WISCONSIN DELLS Wards 5,9",18,5,13,0,0,41,14,3
ASHLAND,Town of AGENDA Ward 1,210,55,150,5,0,74,25,7
ASHLAND,Town of ASHLAND Ward 1,270,128,136,6,0,74,25,7
ASHLAND,Town of CHIPPEWA Ward 1,179,57,119,3,0,74,25,7
ASHLAND,Town of GINGLES Wards 1-2,396,204,187,5,0,74,25,7
ASHLAND,Town of GORDON Ward 1,166,53,105,8,0,74,25,7
ASHLAND,Town of JACOBS Wards 1-2,291,87,193,11,0,74,25,7
ASHLAND,Town of LA POINTE Ward 1,275,222,46,7,0,74,25,7
ASHLAND,Town of MARENGO Ward 1,183,88,91,4,0,74,25,7
ASHLAND,Town of MORSE Wards 1-2,255,106,141,8,0,74,25,7
ASHLAND,Town of PEEKSVILLE Ward 1,83,20,57,6,0,74,25,7
ASHLAND,Town of SANBORN Wards 1-2,386,320,59,7,0,74,25,7
ASHLAND,Town of SHANAGOLDEN Ward 1,67,24,43,0,0,74,25,7
ASHLAND,Town of WHITE RIVER Wards 1-2,388,114,267,7,0,74,25,7
ASHLAND,Village of BUTTERNUT Ward 1,147,65,79,3,0,74,25,7
ASHLAND,"City of ASHLAND Wards 1-8,11",1501,924,544,33,0,74,25,7
ASHLAND,"City of ASHLAND Wards 9-10,12-21",1836,1242,545,45,4,74,25,7
ASHLAND,City of MELLEN Ward 1,256,133,120,3,0,74,25,7
BARRON,Town of ALMENA Wards 1-2,475,126,335,14,0,75,25,7
BARRON,Town of ARLAND Ward 1,284,101,173,10,0,75,25,7
BARRON,Town of BARRON Wards 1-2,345,90,249,6,0,75,25,7
BARRON,Town of BEAR LAKE Ward 1,365,130,225,10,0,75,25,7
BARRON,Town of CEDAR LAKE Wards 1-2,687,215,466,6,0,75,25,7
BARRON,Town of CHETEK Wards 1-3,946,338,592,16,0,75,25,7
BARRON,Town of CLINTON Ward 1,316,89,214,13,0,75,25,7
BARRON,Town of CRYSTAL LAKE Ward 1,368,113,248,7,0,75,25,7
BARRON,Town of CUMBERLAND Ward 1,421,144,269,8,0,75,25,7
BARRON,Town of DALLAS Wards 1-2,257,62,192,3,0,75,25,7
BARRON,Town of DOVRE Ward 1,384,135,236,13,0,75,25,7
BARRON,Town of DOYLE Wards 1-2,265,71,188,5,1,75,25,7
BARRON,Town of LAKELAND Wards 1-2,506,173,322,10,1,75,25,7
BARRON,Town of MAPLE GROVE Wards 1-2,400,87,304,8,1,75,25,7
BARRON,Town of MAPLE PLAIN Ward 1,442,176,260,6,0,75,25,7
BARRON,Town of OAK GROVE Wards 1-2,437,137,292,8,0,75,25,7
BARRON,Town of PRAIRIE FARM Wards 1-2,245,69,170,6,0,75,25,7
BARRON,Town of PRAIRIE LAKE Wards 1-2,827,246,566,15,0,75,25,7
BARRON,Town of RICE LAKE Wards 1-4,1378,505,848,25,0,75,25,7
BARRON,Town of SIOUX CREEK Ward 1,322,90,221,11,0,75,25,7
BARRON,Town of STANFOLD Ward 1,321,105,208,8,0,75,25,7
BARRON,Town of STANLEY Wards 1-4,1184,354,810,20,0,75,25,7
BARRON,Town of SUMNER Ward 1,363,101,253,9,0,75,25,7
BARRON,Town of TURTLE LAKE Ward 1,308,96,204,8,0,75,25,7
BARRON,Town of VANCE CREEK Ward 1,311,102,204,5,0,75,25,7
BARRON,Village of ALMENA Ward 1,251,64,184,3,0,75,25,7
BARRON,Village of CAMERON Wards 1-3,685,221,447,17,0,75,25,7
BARRON,Village of DALLAS Ward 1,150,33,114,3,0,75,25,7
BARRON,Village of HAUGEN Ward 1,122,43,74,5,0,75,25,7
BARRON,VILLAGE OF NEW AUBURN Ward 2,7,1,6,0,0,67,23,7
BARRON,Village of PRAIRIE FARM Ward 1,157,51,101,4,1,75,25,7
BARRON,Village of TURTLE LAKE Ward 1,301,111,184,6,0,75,25,7
BARRON,City of BARRON Wards 1-7,1069,469,583,16,1,75,25,7
BARRON,City of CHETEK Wards 1-4,886,349,522,15,0,75,25,7
BARRON,City of CUMBERLAND Wards 1-5,946,412,510,24,0,75,25,7
BARRON,City of RICE LAKE Wards 1-16,3279,1479,1719,79,2,75,25,7
BAYFIELD,Town of BARKSDALE Wards 1-2,456,252,197,7,0,74,25,7
BAYFIELD,Town of BARNES Ward 1,585,249,323,13,0,74,25,7
BAYFIELD,Town of BAYFIELD Wards 1-2,495,340,144,10,1,74,25,7
