CNTY_NAME,rep_unit,ward_list
ADAMS,CITY OF ADAMS WARDS 1-5,"55001002750001, 55001002750002, 55001002750003, 55001002750004, 55001002750005"
ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9","55001881500005, 55001881500009"
ADAMS,TOWN OF ADAMS WARDS 1-3,"55001003000001, 55001003000002, 55001003000003"
ADAMS,TOWN OF BIG FLATS WARDS 1-2,"55001073000001, 55001073000002"
ADAMS,TOWN OF COLBURN WARD 1,55001160750001
ADAMS,"TOWN OF DELL PRAIRIE WARDS 1,2","55001195750001, 55001195750002"
ADAMS,TOWN OF EASTON WARD 1,55001220000001
ADAMS,TOWN OF JACKSON WARDS 1-2,"55001376250001, 55001376250002"
ADAMS,TOWN OF LEOLA WARD 1,55001434250001
ADAMS,TOWN OF LINCOLN WARD 1,55001442500001
ADAMS,TOWN OF MONROE WARD 1,55001537250001
ADAMS,TOWN OF NEW CHESTER WARDS 1-3,"55001565250001, 55001565250002, 55001565250003"
ADAMS,TOWN OF NEW HAVEN WARD 1,55001567500001
ADAMS,TOWN OF PRESTON WARDS 1-2,"55001654500001, 55001654500002"
ADAMS,"TOWN OF QUINCY WARDS 1,2","55001658250001, 55001658250002"
ADAMS,TOWN OF RICHFIELD WARD 1,55001674250001
ADAMS,"TOWN OF ROME WARDS 1,2,3,4","55001692750001, 55001692750002, 55001692750003, 55001692750004"
ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,"55001763500001, 55001763500002"
ADAMS,"TOWN OF STRONGS PRAIRIE WARDS 1,2","55001778000001, 55001778000002"
ADAMS,VILLAGE OF FRIENDSHIP WARD 1,55001279500001
ASHLAND,"CITY OF ASHLAND WARDS 1-8,11","55003032250001, 55003032250002, 55003032250003, 55003032250004, 55003032250005, 55003032250006, 55003032250007, 55003032250008, 55003032250011"
ASHLAND,"CITY OF ASHLAND WARDS 9-10,12-21","55003032250009, 55003032250010, 55003032250012, 55003032250013, 55003032250014, 55003032250015, 55003032250016, 55003032250017, 55003032250018, 55003032250019, 55003032250020, 55003032250021"
ASHLAND,CITY OF MELLEN WARD 1,55003507000001
ASHLAND,TOWN OF AGENDA WARD 1,55003005500001
ASHLAND,TOWN OF ASHLAND WARD 1,55003032500001
ASHLAND,TOWN OF CHIPPEWA WARD 1,55003145500001
ASHLAND,TOWN OF GINGLES WARDS 1-2,"55003292500001, 55003292500002"
ASHLAND,TOWN OF GORDON WARD 1,55003298750001
ASHLAND,TOWN OF JACOBS WARDS 1-2,"55003377750001, 55003377750002"
ASHLAND,TOWN OF LA POINTE WARD 1,55003425620001
ASHLAND,TOWN OF MARENGO WARD 1,55003492000001
ASHLAND,TOWN OF MORSE WARDS 1-2,"55003544000001, 55003544000002"
ASHLAND,TOWN OF PEEKSVILLE WARD 1,55003616000001
ASHLAND,TOWN OF SANBORN WARDS 1-2,"55003713500001, 55003713500002"
ASHLAND,TOWN OF SHANAGOLDEN WARD 1,55003728250001
ASHLAND,TOWN OF WHITE RIVER WARDS 1-2,"55003868500001, 55003868500002"
ASHLAND,VILLAGE OF BUTTERNUT WARD 1,55003115250001
BARRON,CITY OF BARRON WARDS 1-7,"55005048750001, 55005048750002, 55005048750003, 55005048750004, 55005048750005, 55005048750006, 55005048750007"
BARRON,CITY OF CHETEK WARDS 1-4,"55005143250001, 55005143250002, 55005143250003, 55005143250004"
BARRON,CITY OF CUMBERLAND WARDS 1-5,"55005180250001, 55005180250002, 55005180250003, 55005180250004, 55005180250005"
BARRON,CITY OF RICE LAKE WARDS 1-16,"55005673500001, 55005673500002, 55005673500003, 55005673500004, 55005673500005, 55005673500006, 55005673500007, 55005673500008, 55005673500009, 55005673500010, 55005673500011, 55005673500012, 55005673500013, 55005673500014, 55005673500015"
BARRON,TOWN OF ALMENA WARDS 1-2,"55005013500001, 55005013500002"
BARRON,TOWN OF ARLAND WARD 1,55005027750001
BARRON,TOWN OF BARRON WARDS 1-2,"55005049000001, 55005049000002"
BARRON,TOWN OF BEAR LAKE WARD 1,55005056500001
BARRON,TOWN OF CEDAR LAKE WARDS 1-2,"55005135000001, 55005135000002"
BARRON,TOWN OF CHETEK WARDS 1-3,"55005143500001, 55005143500002, 55005143500003"
BARRON,TOWN OF CLINTON WARD 1,55005156000001
BARRON,TOWN OF CRYSTAL LAKE WARD 1,55005178750001
BARRON,TOWN OF CUMBERLAND WARD 1,55005180500001
BARRON,TOWN OF DALLAS WARDS 1-2,"55005186000001, 55005186000002"
BARRON,TOWN OF DOVRE WARD 1,55005206500001
BARRON,TOWN OF DOYLE WARDS 1-2,"55005207500001, 55005207500002"
BARRON,TOWN OF LAKELAND WARDS 1-2,"55005416000001, 55005416000002"
BARRON,TOWN OF MAPLE GROVE WARDS 1-2,"55005488250001, 55005488250002"
BARRON,TOWN OF MAPLE PLAIN WARD 1,55005489500001
BARRON,TOWN OF OAK GROVE WARDS 1-2,"55005589500001, 55005589500002"
BARRON,TOWN OF PRAIRIE FARM WARDS 1-2,"55005651750001, 55005651750002"
BARRON,TOWN OF PRAIRIE LAKE WARDS 1-2,"55005652000001, 55005652000002"
BARRON,TOWN OF RICE LAKE WARDS 1-4,"55005673750001, 55005673750002, 55005673750003, 55005673750004"
BARRON,TOWN OF SIOUX CREEK WARD 1,55005741250001
BARRON,TOWN OF STANFOLD WARD 1,55005765500001
BARRON,TOWN OF STANLEY WARDS 1-4,"55005766000001, 55005766000002, 55005766000003, 55005766000004"
BARRON,TOWN OF SUMNER WARD 1,55005784500001
BARRON,TOWN OF TURTLE LAKE WARD 1,55005811000001
BARRON,TOWN OF VANCE CREEK WARD 1,55005823750001
BARRON,VILLAGE OF ALMENA WARD 1,55005013250001
BARRON,VILLAGE OF CAMERON WARDS 1-3,"55005122500001, 55005122500002, 55005122500003"
BARRON,VILLAGE OF DALLAS WARD 1,55005185750001
BARRON,VILLAGE OF HAUGEN WARD 1,55005332250001
BARRON,VILLAGE OF NEW AUBURN WARD 2,55005563500002
BARRON,VILLAGE OF PRAIRIE FARM WARD 1,55005651500001
